schema,table,column,inferred_dtype
transportation,domestic_shipping_emissions_sources,lon,float4
mineral_extraction,sand_quarrying_country_emissions,start_time,timestamp
forestry_and_land_use,removals_country_emissions,end_time,timestamp
power,electricity_generation_country_emissions,end_time,timestamp
buildings,other_onsite_fuel_usage_country_emissions,modified_date,timestamp
agriculture,manure_left_on_pasture_cattle_country_emissions,emissions_quantity,float4
mineral_extraction,copper_mining_emissions_sources_ownership,source_id,bigint
transportation,domestic_aviation_emissions_sources_confidence,end_time,timestamp
mineral_extraction,iron_mining_emissions_sources,source_id,bigint
forestry_and_land_use,shrubgrass_fires_emissions_sources,emissions_quantity,float4
manufacturing,petrochemicals_country_emissions,modified_date,timestamp
manufacturing,cement_emissions_sources_confidence,modified_date,timestamp
fossil_fuel_operations,oil_and_gas_refining_emissions_sources_ownership,source_id,bigint
manufacturing,steel_country_emissions,created_date,timestamp
manufacturing,steel_emissions_sources_confidence,created_date,timestamp
transportation,international_aviation_emissions_sources_confidence,modified_date,timestamp
transportation,road_transportation_emissions_sources,emissions_quantity,float4
agriculture,enteric_fermentation_cattle_feedlot_country_emissions,end_time,timestamp
mineral_extraction,copper_mining_emissions_sources,modified_date,timestamp
transportation,international_shipping_emissions_sources,emissions_factor,float8
forestry_and_land_use,forest_land_degradation_country_emissions,modified_date,timestamp
forestry_and_land_use,forest_land_fires_emissions_sources,emissions_factor,float8
mineral_extraction,bauxite_mining_emissions_sources_ownership,company_id,bigint
mineral_extraction,iron_mining_emissions_sources,lat,float4
manufacturing,aluminum_emissions_sources_confidence,modified_date,timestamp
fossil_fuel_operations,coal_mining_emissions_sources_confidence,modified_date,timestamp
manufacturing,cement_emissions_sources,start_time,timestamp
agriculture,enteric_fermentation_other_country_emissions,emissions_quantity,float4
power,electricity_generation_emissions_sources_confidence,source_id,bigint
mineral_extraction,iron_mining_emissions_sources_ownership,source_id,bigint
mineral_extraction,copper_mining_emissions_sources_confidence,source_id,bigint
transportation,international_aviation_emissions_sources,lat,float4
agriculture,enteric_fermentation_cattle_pasture_emissions_sources_confidenc,modified_date,timestamp
transportation,domestic_aviation_emissions_sources_ownership,lat,float4
transportation,domestic_shipping_emissions_sources,end_time,timestamp
agriculture,enteric_fermentation_cattle_pasture_emissions_sources,source_id,bigint
waste,biological_treatment_of_solid_waste_and_biogenic_country_emissi,created_date,timestamp
forestry_and_land_use,wetland_fires_country_emissions,start_time,timestamp
forestry_and_land_use,forest_land_clearing_country_emissions,modified_date,timestamp
agriculture,enteric_fermentation_cattle_pasture_country_emissions,modified_date,timestamp
power,electricity_generation_emissions_sources,emissions_factor,float8
transportation,international_aviation_emissions_sources,source_id,bigint
agriculture,rice_cultivation_emissions_sources,emissions_factor,float8
agriculture,enteric_fermentation_cattle_pasture_emissions_sources,lat,float4
agriculture,manure_management_cattle_feedlot_emissions_sources_confidence,created_date,timestamp
mineral_extraction,iron_mining_emissions_sources_confidence,created_date,timestamp
mineral_extraction,copper_mining_emissions_sources,end_time,timestamp
agriculture,synthetic_fertilizer_application_emissions_sources,emissions_factor,float8
