schema,table,column,inferred_dtype
mineral_extraction,copper_mining_country_emissions,start_time,timestamp
fossil_fuel_operations,solid_fuel_transformation_country_emissions,modified_date,timestamp
manufacturing,cement_emissions_sources_confidence,created_date,timestamp
transportation,domestic_shipping_emissions_sources,created_date,timestamp
mineral_extraction,bauxite_mining_country_emissions,start_time,timestamp
mineral_extraction,bauxite_mining_emissions_sources,end_time,timestamp
forestry_and_land_use,forest_land_degradation_emissions_sources_confidence,source_id,bigint
manufacturing,steel_emissions_sources_confidence,modified_date,timestamp
mineral_extraction,iron_mining_country_emissions,end_time,timestamp
transportation,international_aviation_emissions_sources_confidence,created_date,timestamp
agriculture,manure_management_other_country_emissions,end_time,timestamp
manufacturing,steel_emissions_sources_confidence,end_time,timestamp
agriculture,manure_management_cattle_feedlot_emissions_sources,emissions_factor,float8
transportation,domestic_shipping_emissions_sources,emissions_quantity,float4
forestry_and_land_use,forest_land_clearing_emissions_sources,start_time,timestamp
transportation,domestic_aviation_emissions_sources_confidence,created_date,timestamp
power,electricity_generation_emissions_sources_ownership,source_id,bigint
fossil_fuel_operations,oil_and_gas_production_and_transport_emissions_sources_confiden,start_time,timestamp
forestry_and_land_use,shrubgrass_fires_emissions_sources,modified_date,timestamp
power,other_energy_use_country_emissions,modified_date,timestamp
fossil_fuel_operations,other_fossil_fuel_operations_country_emissions,emissions_quantity,float4
forestry_and_land_use,net_wetland_country_emissions,start_time,timestamp
mineral_extraction,copper_mining_emissions_sources,emissions_quantity,float4
forestry_and_land_use,shrubgrass_fires_emissions_sources_confidence,modified_date,timestamp
manufacturing,petrochemicals_emissions_sources_confidence,source_id,bigint
waste,wastewater_treatment_and_discharge_emissions_sources,start_time,timestamp
agriculture,manure_management_cattle_feedlot_country_emissions,end_time,timestamp
fossil_fuel_operations,coal_mining_country_emissions,emissions_quantity,float4
transportation,domestic_shipping_emissions_sources_confidence,start_time,timestamp
forestry_and_land_use,shrubgrass_fires_country_emissions,modified_date,timestamp
transportation,international_aviation_emissions_sources_ownership,source_id,bigint
agriculture,enteric_fermentation_cattle_feedlot_emissions_sources_confidenc,modified_date,timestamp
fluorinated_gases,fluorinated_gases_country_emissions,modified_date,timestamp
transportation,international_aviation_country_emissions,emissions_quantity,float4
fossil_fuel_operations,coal_mining_emissions_sources,lat,float4
